,#Predicted Rank,#Simplicity,#Uniqueness,(1 ounce) squares German sweet chocolate - chopped,(18.25 ounce) package chocolate chip cake mix with pudding,(3.5 oz)vanilla pudding mix,(6 ounce) package almond brickle chips,3 ounce package instant pistachio pudding mix,BakingSoda(tsp),Brown Sugar (c),Butter (c),Chocolate Chip Muffin Mix (pkg),Egg,Egg White,European cookie spread (c),Flour (c),Kentucky Bourbon (tbsp),NESTLE TOLL HOUSE Delightfulls Mint Filled Morsels (c),PB chips (c),Stevia Extract In The Raw (c),Sugar (c),Sweetened Condensed Milk (oz),Tennessee whiskey (tbsp),Vanilla (tsp),almond butter (c),almond extract (tsp),almond flour (c),almond milk (tbsp),applesauce (c),baking powder (tsp),basic cookie mix,bitter sweet chocolate (c),blueberries (c),bread flour (c),buttermilk (c),buttermilk baking mix (c),butterscotch-flavored chips (c),cake flour (c),candy-coated chocolate pieces (c),canola oil (tbsp),caramel morsels (pieces),carrots shredded (c),chia seeds (c),chickpea flour (c),chocolate chunks (oz),chocolate covered caramel candy (pieces),chocolate covered toffee (oz),chocolate fudge cake mix (pkg),chocolate syrup (c),chopped almonds (c),chopped dried apricot (c),chopped maraschino cherries (c),chopped pecans (c),chopped peppermint candy (c),coarse salt (tsp),cocoa nibs (c),cocoa powder (c),coconut extract (tsp),coconut flour (c),coconut oil (tbsp),coconut sugar (c),coffee flavored liqueur (tbsp),confectioners sugar (c),corn flakes (c),corn syrup (tbsp),cornflakes cereal - curmbled (c),cornstarch (tbsp),cream (tbsp),cream cheese (oz),cream of tartar (tsp),creamy PB (oz),crips rice cereal (c),crunchy peanut butter (c),crushed pistachios (c),dairy-free and gluten-free chocolate chips,dark chocolate chips (oz),dried cranberries (c),dried tart cranberries (c),egg substitute (c),egg yolk,finely chopped chipotle peppers in adobo sauce (tsp),finely chopped crystallized ginger (c),finely chopped zucchini (c),firmly packed potato starch (c),flaked coconut (c),gluten free flour (c),gluten-free baking mix (c),golden raisins (c),green tea powder [matcha] (tbsp),ground allspice (tsp),ground cardamom (tsp),ground cinnamon (tsp),ground cloves (tsp),ground flax seeds (c),ground ginger (tsp),ground graham cracker crumbs (c),ground mace (tsp),ground nutmeg (tsp),ground white pepper (tsp),half and half (tbsp),hemp seed hearts (c),honey (tbsp),hot water (tsp),instant butterscotch pudding mix,instant espresso coffee powder (tbsp),kiwi pureed,macadamia nuts chopped (c),maple extract (tsp),maple syrup (c),maple-cured bacon chopped (piece),mashed avocado (c),mashed bananas (c),matzo cake meal (c),melted butter (c),melted dark chocolate (oz),melted semisweet chocolate chips (oz),milk (tbsp),milk chocolate candy kisses - unwrapped - softened,milk chocolate chips (c),mini marshmallows (c),mint chocolate chips (c),molasses (c),nut and seed trail mix (c),oats (c),orange extract (tsp),orange juice (tbsp),orange zest (tbsp),peppermint extract (tsp),plain yogurt,port wine (c),powdered milk (c),powdered protein supplement (scoop),prepared granola (c),pumpkin pie spice (tsp),pumpkin puree (oz),pureed prunes (tbsp),raisins (c),red food coloring (tbsp),salt (tsp),semisweet chocolate chips (oz),shortening (c),sifted whole wheat pastry flour (c),sorghum flour (c),sour cream (c),soy milk (c),soybean oil (tbsp),spice cake mix (oz),sweet potato puree (c),tapioca flour (c),toasted oat cereal smashed (c),toffee baking bits (c),turbinado sugar (c),unsweetened baking chocolate (oz),vanilla chips (oz),vegan choc. Chips (tbsp),vegetable oil (tbsp),walnuts (c),water (tsp),white cake mix (pkg),white chocolate chips (oz),white chocolate pudding mix (3.3 oz pkg),white rice flour (c),white vinegar (tsp),xanthan gum (tsp),yellow cake mix (pkg)
0,5.808678150177003,22.690426808458227,9.32968213552852,0.0625,0.0625,0.0625,0.0,0.1875,0.4375,0.8125,0.375,0.125,0.1875,0.4375,0.0625,0.8125,0.25,0.0625,0.25,0.125,0.125,1.125,0.0625,1.5625,0.125,0.0625,0.0625,0.0625,0.0625,0.5625,0.1875,0.0625,0.0,0.0625,0.0625,0.125,0.0,0.0625,0.0,0.0625,0.4375,0.0,0.0,0.0,0.5625,0.4375,0.6875,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.1875,0.0625,0.4375,0.0625,0.0625,0.75,0.0625,0.3125,0.25,0.0,1.25,0.125,0.375,0.3125,0.25,0.125,2.6875,0.4375,0.0,0.1875,0.0625,0.6875,0.125,0.0625,0.0625,0.3125,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.1875,0.0625,0.0,0.0,0.0,0.3125,0.0625,0.0,0.1875,0.0625,0.0625,0.1875,0.0625,0.0,0.1875,1.375,0.125,0.0625,0.25,0.0625,0.0625,0.0625,0.0,0.1875,0.0625,0.0,0.0625,0.25,0.0,0.0625,1.9375,5.3125,0.4375,0.125,0.0625,0.0625,0.0625,1.75,0.125,0.5,0.0625,0.0,0.0625,0.0625,0.0,0.625,0.3125,0.0625,0.625,0.125,0.0625,0.1875,0.0,20.875,0.125,0.25,0.0,0.125,0.0,0.0625,0.3125,0.0625,0.0,0.125,0.0,0.0625,0.25,0.8125,0.125,3.0,0.3125,3.3125,0.0,0.875,0.0625,0.125,0.0625,0.1875,0.1875
1,6.7751407623291025,33.32404818595724,9.842112959116044,0.8125,0.125,0.0,0.0625,0.0625,0.5,1.875,0.75,0.0625,2.125,0.625,0.0625,1.25,0.25,0.0,0.1875,0.0625,0.6875,0.375,0.125,0.5,0.0625,0.0625,0.125,0.0625,0.0625,0.9375,0.1875,0.1875,0.0625,0.0625,0.0,0.125,0.0625,0.0625,0.0625,0.0,0.3125,0.0,0.0,0.125,1.6875,4.1875,0.5,0.0625,0.0625,0.25,0.0,0.0,0.0625,0.0,0.0625,0.0,0.125,0.25,0.0625,2.0,0.125,0.0,0.25,0.0625,0.0625,0.0,0.0,0.25,0.875,0.125,1.0625,0.375,0.125,0.0625,0.125,0.25,0.0625,0.0625,0.0,0.375,0.0625,0.0625,0.0,0.0,0.0625,0.1875,0.0625,0.0625,0.0625,0.0,0.0,0.375,0.0625,0.0625,0.0,0.0,0.0625,0.125,0.0,0.0625,0.0,0.125,0.1875,0.0625,0.0625,0.0,0.125,0.0,0.0625,0.3125,0.0,0.1875,0.0625,0.0625,0.125,0.0625,2.8125,1.375,0.25,0.1875,0.1875,0.0,0.0625,0.125,0.125,0.5625,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0625,2.3125,0.0,0.0,0.125,0.9375,31.5,0.5,0.25,0.0,0.0625,0.0625,0.0625,0.8125,0.0,0.0,0.0625,0.125,0.0,0.4375,1.0,0.75,1.125,0.5625,7.4375,0.0625,0.8125,0.0625,0.0625,0.0625,0.0,0.0625
2,7.166751384735107,34.412082271347664,11.395071577221445,0.625,0.0,0.3125,0.0,0.125,1.0,0.4375,1.1875,0.0625,1.5,1.125,0.0625,2.625,0.5625,0.0625,0.125,0.0,0.25,0.5,0.0,0.75,0.25,0.125,0.0625,0.125,0.0,1.0,0.0625,0.1875,0.0625,0.3125,0.0,0.1875,0.0,0.0,0.0,0.0625,2.125,0.0,0.0,0.125,1.125,1.0625,0.25,0.1875,0.0625,0.0625,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.1875,0.125,0.0,0.375,0.0,0.6875,0.0,0.0625,0.125,0.375,0.1875,1.8125,0.4375,0.0,0.0625,0.0625,4.875,0.0625,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.125,0.0,0.0,0.0,0.125,0.1875,0.0,0.8125,0.25,0.0625,0.25,0.0,0.125,0.0625,0.0,0.375,0.0,0.1875,0.0625,0.0625,0.4375,0.0625,4.875,0.9375,1.1875,0.0,0.0,0.0,0.0625,0.375,0.0,0.8125,0.0,0.125,0.0,0.0,0.0625,0.25,0.125,0.1875,4.875,0.0625,0.0625,0.1875,0.375,32.375,0.5,0.1875,0.0,0.0625,0.0,0.0625,0.1875,0.0,0.0,0.0625,0.0,0.0625,0.1875,0.0,0.5625,0.25,0.25,4.6875,0.0625,3.125,0.0625,0.0625,0.0,0.1875,0.0625
3,7.743794441223144,19.59581827201916,10.839561510965282,0.5625,0.0,0.3125,0.125,0.0625,0.875,0.875,0.75,0.25,2.8125,0.4375,0.0,1.875,0.1875,0.125,0.1875,0.125,1.8125,0.9375,0.0625,2.6875,0.1875,0.0625,0.25,0.0,0.0,1.25,0.0,0.125,0.0,0.0625,0.0,0.125,0.0625,0.0,0.0625,0.125,1.4375,0.0,0.0,0.0625,1.875,7.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.1875,0.125,0.0625,0.375,0.0625,0.0625,0.5,0.0625,0.3125,0.0625,0.8125,0.125,0.375,0.5,1.0625,0.1875,0.0625,0.125,0.0625,2.3125,0.125,0.0625,0.0,0.5,0.1875,0.0,0.125,0.0625,0.375,0.0,0.1875,0.0625,0.0625,0.0625,0.0625,0.375,0.125,0.0,0.4375,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,2.625,1.4375,0.0625,0.3125,0.0625,0.125,0.125,0.0,0.625,0.0625,0.0,0.0625,0.1875,0.4375,0.0,2.5,1.1875,0.125,0.0625,0.125,0.0,0.0625,1.25,0.0625,0.75,0.0,0.1875,0.0625,0.0625,0.0625,0.125,0.125,0.0625,4.25,0.0625,0.1875,0.0625,0.9375,15.375,0.125,0.1875,0.125,0.0,0.0,0.0,1.25,0.0625,0.0,0.0625,0.0625,0.0625,0.375,0.1875,0.0625,2.6875,0.0,0.4375,0.125,2.75,0.125,0.0625,0.0625,0.4375,0.0625
4,7.82103967666626,20.478647416272395,11.141139977578595,1.625,0.125,0.375,0.0625,0.0,1.4375,0.125,0.125,0.0,1.625,0.0625,0.0625,4.5625,0.125,0.0625,0.0,0.0625,1.125,2.375,0.1875,3.125,0.0625,0.0,0.0625,0.0,0.0625,0.4375,0.0625,0.0625,0.0625,0.125,0.0625,0.25,0.0,0.0625,0.0,0.125,0.125,0.0625,0.0,0.125,1.0625,6.875,0.6875,0.0625,0.0625,0.125,0.1875,0.0625,0.375,0.0,0.125,0.0625,0.1875,0.0625,0.0,1.375,0.0625,0.1875,0.125,0.0625,0.3125,0.0625,1.25,0.5625,0.1875,0.6875,4.25,0.25,0.0,0.1875,0.0625,0.9375,0.0625,0.125,0.0625,0.0625,0.0,0.0625,0.125,0.0625,0.25,0.125,0.0,0.0625,0.0,0.0625,0.0625,0.5625,0.0,0.0625,0.0625,0.0,0.125,0.125,0.0,0.3125,0.0625,2.1875,0.5,0.0,0.25,0.0625,0.125,0.125,0.0625,0.6875,0.0625,0.0,0.0625,0.125,0.1875,0.0625,3.25,2.875,0.9375,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.5,0.0,0.1875,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.9375,0.1875,0.0,0.0625,1.4375,16.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,2.3125,0.0625,0.0,0.0,0.0625,0.0,0.25,0.125,0.5,0.25,0.25,2.3125,0.0,1.625,0.0,0.0625,0.0,0.4375,0.1875
5,4.656386375427246,12.784878763601945,8.50726013473198,1.125,0.0625,0.25,0.0625,0.125,1.1875,0.8125,0.875,0.0,2.375,0.1875,0.0625,3.375,0.25,0.125,0.125,0.0,0.25,0.5,0.0,1.875,0.0625,0.0625,0.3125,0.0625,0.125,0.4375,0.125,0.0625,0.0,0.25,0.0625,0.125,0.0,0.0,0.0625,0.0625,3.125,0.0,0.0,0.3125,0.375,0.9375,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.0,0.0,0.1875,0.0,0.125,0.25,0.0,0.3125,0.0,0.0625,0.3125,0.125,0.625,0.0,0.8125,0.3125,0.125,0.3125,1.5625,0.3125,0.0625,0.125,0.0625,3.75,0.0,0.0,0.0625,0.125,0.0625,0.0,0.25,0.0,0.0625,0.1875,0.0,0.0,0.0625,0.0,0.0,0.3125,0.0625,0.0625,0.3125,0.0625,0.0,0.4375,0.0,0.1875,0.0625,1.6875,0.375,0.125,0.5,0.0,0.125,0.0,0.0625,0.875,0.0,0.0625,0.0625,0.0,0.375,0.0,0.5,2.0625,0.625,0.0,0.0625,0.125,0.0,1.3125,0.125,0.5625,0.0625,0.5,0.0,0.0,0.0625,0.0625,0.0625,0.125,2.125,0.0625,0.0625,0.1875,0.5,4.125,0.5,0.125,0.125,0.0625,0.0625,0.0625,3.1875,0.0625,0.0625,0.0,0.125,0.0625,0.0,0.5,0.5,1.625,0.125,1.0625,0.0625,7.75,0.0625,0.125,0.0625,0.1875,0.0625
6,4.915736198425293,26.891128881101288,6.065102018927629,0.625,0.0,0.0625,0.125,0.0,1.9375,0.75,0.0625,0.0,1.875,0.75,0.0,1.0,0.4375,0.0625,0.1875,0.25,0.0625,0.0625,0.0625,0.25,0.1875,0.0625,0.5,0.0,0.0,0.1875,0.0625,0.125,0.0,0.125,0.0,0.1875,0.0,0.0625,0.0,0.0625,0.875,0.0,0.0625,0.1875,0.375,2.75,0.0625,0.0,0.0625,0.125,0.0,0.0625,0.3125,0.0,0.1875,0.0625,0.3125,0.1875,0.0,0.6875,0.0,0.0625,0.0,0.0625,1.0625,0.0625,0.9375,0.125,0.8125,0.0625,1.9375,0.875,0.0,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.25,0.0625,0.0625,0.125,0.0,0.125,0.125,0.1875,0.0,0.0625,0.0625,0.1875,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.9375,0.125,0.0625,0.125,0.0625,0.1875,0.0625,0.0625,0.3125,0.0,0.0625,0.0,0.0625,0.125,0.0625,0.875,0.5625,0.25,0.0625,0.0625,0.0,0.0,0.25,0.0,0.1875,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.1875,0.0,0.25,0.0625,0.8125,26.1875,0.0625,0.25,0.0625,0.0625,0.0,0.0625,0.3125,0.0,0.0,0.0625,0.0625,0.0,0.875,0.0,1.4375,1.0625,0.625,0.875,0.0625,1.25,0.0625,0.125,0.0,0.0625,0.0625
7,5.029916763305664,28.41166408801146,8.157300794380454,1.1875,0.125,0.25,0.0,0.0,1.125,0.0625,1.0,0.125,1.0625,0.1875,0.0,0.125,0.125,0.125,0.25,0.0,0.75,2.3125,0.0,0.875,0.0625,0.0625,0.1875,0.0,0.0625,0.6875,0.0,0.1875,0.0625,0.0,0.0625,0.125,0.0625,0.0,0.0625,0.0,0.125,0.0625,0.0625,0.125,1.125,3.75,0.5,0.0,0.0625,0.1875,0.125,0.0,0.125,0.0,0.0625,0.0625,0.25,0.0625,0.0625,1.0625,0.0,0.0625,0.0,0.0625,0.4375,0.0625,0.5625,0.0625,0.3125,0.1875,0.9375,0.125,0.0,0.0625,0.0625,1.1875,0.0625,0.0625,0.0,0.1875,0.0625,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.1875,0.0,0.0,0.0625,0.0,0.0,0.125,0.0,0.0625,0.125,0.75,0.125,0.0625,0.3125,0.0,0.1875,0.0,0.0,0.0,0.0,0.0625,0.125,0.1875,0.0,0.0,0.625,0.9375,0.3125,0.0625,0.0625,0.0,0.0625,0.0,0.0625,0.5,0.0625,0.0625,0.0625,0.0,0.0625,0.1875,0.25,0.0,3.0625,0.1875,0.125,0.125,0.75,27.4375,0.875,0.0,0.0,0.0,0.0625,0.0625,0.625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.5625,0.125,2.1875,0.5625,1.625,0.0625,0.5,0.0625,0.0,0.0625,0.125,0.125
8,5.182796478271484,24.34485315215518,6.054504521428652,0.875,0.0,0.4375,0.0625,0.125,1.5,1.625,0.25,0.0,1.9375,0.0625,0.0625,2.75,0.125,0.125,0.5,0.0625,0.5625,0.5625,0.0625,0.5625,0.125,0.0625,0.4375,0.0625,0.0625,0.125,0.1875,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.75,0.0625,0.0625,0.0625,0.125,2.25,0.25,0.1875,0.0,0.375,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.1875,0.125,0.0,0.1875,0.0625,0.3125,0.8125,0.0,0.3125,0.0,0.0625,0.8125,0.125,0.4375,0.9375,0.3125,0.0625,0.0625,0.0625,0.125,0.125,0.125,0.0,0.0,0.1875,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0625,0.125,0.0,0.0625,0.0,1.0625,1.125,0.1875,0.0625,0.0,0.1875,0.0625,0.0625,0.375,0.0,0.0625,0.125,0.0625,0.1875,0.0625,0.375,1.375,0.1875,0.0,0.0625,0.0,0.0,0.1875,0.125,0.5625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.25,0.0,3.5625,0.0625,0.0625,0.3125,0.625,23.25,0.75,0.125,0.0,0.0625,0.0,0.125,1.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.25,0.75,0.4375,1.875,0.0,0.0,0.0625,0.0625,0.0625,0.125,0.1875
9,5.314731597900392,32.761448380680605,9.015611460128481,1.375,0.1875,0.125,0.0,0.0,2.1875,0.3125,0.25,0.125,0.6875,0.625,0.0,2.3125,0.125,0.125,0.375,0.0,0.0625,0.5625,0.0,0.875,0.0625,0.125,0.0625,0.0,0.0,0.875,0.0625,0.0625,0.0,0.125,0.0625,0.25,0.0,0.0625,0.0,0.0625,0.9375,0.0625,0.0,0.0625,1.125,3.0625,0.5,0.0625,0.0625,0.0,0.0,0.0,0.1875,0.0625,0.125,0.0625,0.25,0.0625,0.0625,1.125,0.125,0.125,0.25,0.0,0.5,0.0,0.625,0.0625,0.3125,0.125,2.0625,0.125,0.0,0.0625,0.0625,1.0,0.0,0.0,0.0,0.375,0.25,0.0625,0.125,0.0625,0.1875,0.0625,0.125,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.0,2.125,2.3125,0.1875,0.5625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.125,0.3125,0.0,1.875,1.4375,0.75,0.0625,0.1875,0.0,0.0625,0.375,0.0,0.125,0.0,0.1875,0.0,0.0625,0.0,0.125,0.0625,0.125,1.0625,0.1875,0.0,0.0,0.3125,31.6875,0.6875,0.0625,0.0625,0.125,0.0625,0.0,0.25,0.0,0.0625,0.0,0.0,0.0,0.125,0.4375,0.6875,1.8125,0.1875,3.0,0.0,1.625,0.0625,0.0625,0.0,0.1875,0.0625
